food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source
167524,"Waffles, chocolate chip, frozen, ready-to-heat",,,,USDA reference,,5.8,45.68,10.1,1.5,13.1,529.0,2.564,,,,,,USDA FoodData Central SR Legacy
167525,"Tostada shells, corn",,,,USDA reference,,6.15,64.43,23.38,5.8,,657.0,7.217,,,,,,USDA FoodData Central SR Legacy
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",,,,USDA reference,,7.12,47.84,17.12,0.7,24.9,510.0,6.794,,,,,,USDA FoodData Central SR Legacy
167527,"Bread, pound cake type, pan de torta salvadoran",,,,USDA reference,,7.06,51.29,17.45,1.7,18.1,390.0,4.411,,,,,,USDA FoodData Central SR Legacy
167528,"Pastry, Pastelitos de Guava (guava pastries)",,,,USDA reference,,5.48,47.76,18.5,2.2,17.0,231.0,8.543,,,,,,USDA FoodData Central SR Legacy
167529,"Crackers, snack, Goya Crackers",,,,USDA reference,,14.25,64.35,13.35,3.8,2.35,665.0,4.697,,,,,,USDA FoodData Central SR Legacy
167530,"Crackers, cream, Gamesa Sabrosas",,,,USDA reference,,7.01,64.55,20.37,2.4,9.37,1148.0,10.625,,,,,,USDA FoodData Central SR Legacy
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",,,,USDA reference,,7.19,64.88,19.5,2.4,10.41,752.0,14.468,,,,,,USDA FoodData Central SR Legacy
167532,"Bread, white wheat",,,,USDA reference,,10.66,43.91,2.15,9.2,5.0,478.0,0.393,,,,,,USDA FoodData Central SR Legacy
167533,"Bagels, wheat",,,,USDA reference,,10.2,48.89,1.53,4.1,6.12,439.0,0.29,,,,,,USDA FoodData Central SR Legacy
167534,"Cream puff, eclair, custard or cream filled, iced",,,,USDA reference,,4.41,37.43,18.52,0.9,22.05,265.0,6.07,,,,,,USDA FoodData Central SR Legacy
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",,,,USDA reference,,8.01,49.27,7.58,2.4,2.66,742.0,3.801,,,,,,USDA FoodData Central SR Legacy
167536,"Snacks, beef jerky, chopped and formed",,,,USDA reference,,33.2,11.0,25.6,1.8,9.0,1785.0,11.305,,,,,,USDA FoodData Central SR Legacy
167537,"Snacks, corn-based, extruded, chips, plain",,,,USDA reference,,6.17,57.27,33.36,4.0,0.27,514.0,9.134,,,,,,USDA FoodData Central SR Legacy
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",,,,USDA reference,,7.0,56.2,32.7,5.2,,763.0,9.48,,,,,,USDA FoodData Central SR Legacy
167539,"Snacks, corn-based, extruded, cones, plain",,,,USDA reference,,5.8,62.9,26.9,1.1,,1022.0,1.7,,,,,,USDA FoodData Central SR Legacy
167540,"Snacks, fruit leather, pieces",,,,USDA reference,,1.0,82.82,2.68,0.0,57.58,199.0,1.48,,,,,,USDA FoodData Central SR Legacy
